,traits_group,EDB_group
ABU,7,13
ACAFRU,7,13
ACAROB,7,13
ACASEN,6,12
ACASEY,2,11
ACATOR,7,9
ACAXAN,2,11
ACHASP,6,13
ACIJUB,2,1
AEPMEL,1,4
ALBHAR,12,13
ALBU,12,13
ALCBUS,1,4
ALLRUB,7,13
ALOMAC,7,13
ALOSEC,12,13
ANDGRE,8,9
ANDSCH,2,11
ARI,9,9
BALAEG,11,9
BLEACA,6,13
BOSAUG,2,14
BOTINS,8,9
BRASEM,9,9
CANAUR,2,2
CANMES,2,2
CAPTOM,7,13
CARCAR,2,2
CECCIL,7,13
CHLGAY,10,8
CHLPYC,6,11
CHLROX,2,11
CISQUA,7,13
CISROT,7,13
COMMEAFR,7,13
COMMER,6,13
COMMIAFR,6,14
COMMOL,6,8
COMSCH,7,13
CONTAU,1,4
COROVA,7,13
CROCRO,2,1
CRODIC,7,13
CROMAC,10,9
CROSPI,2,11
CYMEXC,2,11
CYNDAC,9,9
CYP,6,13
CYPH,12,13
DAMKOR,4,3
DIGDIA,10,8
DIGMAC,8,9
DIGMIL,2,11
DIGSCA,8,7
DIGTER,6,11
DIGVEL,6,13
DIHAMP,6,13
DINRET,8,7
DUOKIL,2,8
ECHHAP,2,11
EMICOC,12,13
EQUBUR,1,4
ERAASP,6,13
ERACIL,10,8
ERAEXA,2,11
ERATEN,10,9
ERINUB,6,13
EUPCAN,2,11
EUSPAS,8,9
FICGLU,7,13
FICING,7,13
FICTHI,6,13
GAZGRA,1,4
GAZTHO,1,4
GIRCAM,3,6
GREBIC,10,9
GREFAL,7,13
GRETRI,7,13
HARSCH,8,9
HELSTE,6,13
HETBRU,5,5
HETCON,9,9
HIB,11,9
HIBLUN,7,13
HIPAMP,4,3
HOSOPP,7,13
HYPDIS,2,11
HYPFIL,8,9
HYPFOR,12,13
HYPRUF,8,7
IBO,6,13
INDBAS,12,13
INDHOC,10,9
IPOOBS,12,13
JAS,12,13
KAL,6,13
KEDFOE,12,13
KIGAFR,2,11
KOBELL,4,3
KYLNER,6,13
LEPSER,2,2
LIPUKA,6,13
LONERI,2,11
LOXAFR,13,6
LYCPIC,2,1
MADKIR,3,6
MAETRI,7,13
MICKUN,10,8
OCI,7,13
OLE,2,11
OUROUR,4,3
PANCOL,8,9
PANDEU,2,11
PANLEO,2,1
PANMAX,11,9
PANPAR,2,1
PANREP,2,11
PAPANU,3,6
PAPCAP,7,13
PAVASS,7,13
PAVPAT,12,13
PEDCAP,4,3
PELCAL,6,13
PENMEZ,9,9
PENSTR,12,10
PHAAET,4,3
PHRMAU,2,11
PHYSEP,7,13
PROCAP,5,5
PSIJAE,2,11
PUPLAP,12,13
REDRED,2,3
RHAPUM,4,3
RHOREV,6,13
SARVER,2,11
SCLBIR,7,13
SENDID,12,13
SENEHR,7,13
SENSUF,12,13
SETPAL,2,11
SETSPH,2,11
SID,8,9
SOLDEN,7,13
SOLINC,9,9
SOLNIG,6,13
SPOFES,2,8
SPOFIM,10,8
SPOIOC,8,9
SPOPEL,6,13
SPOPYR,8,9
SPOSPI,2,8
SPOSTA,6,13
SYNCAF,1,6
TAUORY,4,3
THETRI,9,9
TRASCR,4,3
TRIEIC,6,13
TURFIS,12,13
TYPCAP,2,11
XIMCAF,7,13
ZIZ,6,13
