,x
ABU,10
ACAFRU,10
ACAROB,10
ACASEN,9
ACASEY,5
ACATOR,10
ACAXAN,5
ACHASP,9
ACIJUB,2
AEPMEL,1
ALBHAR,14
ALBU,14
ALCBUS,1
ALLRUB,10
ALOMAC,10
ALOSEC,14
ANDGRE,11
ANDSCH,5
ARI,12
BALAEG,13
BLEACA,9
BOSAUG,5
BOTINS,11
BRASEM,12
CANAUR,5
CANMES,5
CAPTOM,10
CARCAR,5
CECCIL,10
CHLGAY,13
CHLPYC,9
CHLROX,5
CISQUA,10
CISROT,10
COMMEAFR,10
COMMER,9
COMMIAFR,9
COMMOL,9
COMSCH,10
CONTAU,1
COROVA,10
CROCRO,2
CRODIC,10
CROMAC,13
CROSPI,5
CYMEXC,5
CYNDAC,12
CYP,9
CYPH,14
DAMKOR,8
DIGDIA,13
DIGMAC,11
DIGMIL,5
DIGSCA,11
DIGTER,9
DIGVEL,9
DIHAMP,9
DINRET,11
DUOKIL,5
ECHHAP,5
EMICOC,14
EQUBUR,1
ERAASP,9
ERACIL,13
ERAEXA,5
ERATEN,13
ERINUB,9
EUPCAN,5
EUSPAS,11
FICGLU,10
FICING,10
FICTHI,9
GAZGRA,1
GAZTHO,1
GIRCAM,6
GREBIC,13
GREFAL,10
GRETRI,10
HARSCH,11
HELSTE,9
HETBRU,7
HETCON,12
HIB,13
HIBLUN,10
HIPAMP,6
HOSOPP,10
HYPDIS,5
HYPFIL,11
HYPFOR,14
HYPRUF,11
IBO,9
INDBAS,14
INDHOC,13
IPOOBS,14
JAS,14
KAL,9
KEDFOE,14
KIGAFR,5
KOBELL,4
KYLNER,9
LEPSER,5
LIPUKA,9
LONERI,5
LOXAFR,3
LYCPIC,2
MADKIR,3
MAETRI,10
MICKUN,13
OCI,10
OLE,5
OUROUR,4
PANCOL,11
PANDEU,5
PANLEO,2
PANMAX,13
PANPAR,2
PANREP,5
PAPANU,6
PAPCAP,10
PAVASS,10
PAVPAT,14
PEDCAP,6
PELCAL,9
PENMEZ,12
PENSTR,14
PHAAET,4
PHRMAU,5
PHYSEP,10
PROCAP,7
PSIJAE,5
PUPLAP,14
REDRED,4
RHAPUM,8
RHOREV,9
SARVER,5
SCLBIR,10
SENDID,14
SENEHR,10
SENSUF,14
SETPAL,5
SETSPH,5
SID,11
SOLDEN,10
SOLINC,12
SOLNIG,9
SPOFES,5
SPOFIM,13
SPOIOC,11
SPOPEL,9
SPOPYR,11
SPOSPI,5
SPOSTA,9
SYNCAF,8
TAUORY,6
THETRI,12
TRASCR,4
TRIEIC,9
TURFIS,14
TYPCAP,5
XIMCAF,10
ZIZ,9
